name,id
$mat_fire,fire
$mat_flame,flame
$mat_spark_electric,spark_electric
$mat_spark,spark
$mat_acid_gas_static,acid_gas_static
$mat_acid_gas,acid_gas
$mat_alcohol_gas,alcohol_gas
$mat_blood_cold_vapour,blood_cold_vapour
$mat_cloud,cloud
$mat_cloud,cloud_lighter
$mat_magic_gas_hp_regeneration,magic_gas_hp_regeneration
$mat_radioactive_gas_static,radioactive_gas_static
$mat_radioactive_gas,radioactive_gas
$mat_rainbow_gas,rainbow_gas
$mat_sand_herb_vapour,sand_herb_vapour
$mat_smoke_explosion,smoke_explosion
$mat_smoke_static,smoke_static
$mat_smoke,smoke
$mat_steam,steam
$mat_bush_seed,bush_seed
$mat_ceiling_plant_material,ceiling_plant_material
$mat_fungi_trippy,fungi
$mat_glowshroom,glowshroom
$mat_grass,grass
$mat_grass,grass_dry
$mat_ice,grass_ice
$mat_moss,moss
$mat_mushroom_giant_blue,mushroom_giant_blue
$mat_mushroom_giant_red,mushroom_giant_red
$mat_mushroom_seed,mushroom_seed
$mat_plant_material_red,plant_material_red
$mat_plant_material,plant_material
$mat_plant_seed,plant_seed
$mat_spore,spore
$mat_acid,acid
$mat_alcohol,alcohol
$mat_blood_cold,blood_cold
$mat_blood_fading,blood_fading
$mat_blood_fungi,blood_fading_slow
$mat_blood_thick,blood_thick
$mat_blood_worm,blood_worm
$mat_blood,blood
$mat_bluefungi_static,bluefungi_static
$mat_bluefungi_static,spore_pod_stalk
$mat_bone,bone
$mat_brass_molten,brass_molten
$mat_brass,brass
$mat_cement,cement
$mat_cheese_static,cheese_static
$mat_cloud_blood,cloud_blood
$mat_cloud_radioactive,cloud_radioactive
$mat_cloud_slime,cloud_slime
$mat_coal_static,coal_static
$mat_coal,coal
$mat_concrete_sand,concrete_sand
$mat_concrete_static,concrete_static
$mat_confusion,material_confusion
$mat_copper_molten,copper_molten
$mat_copper,copper
$mat_creepy_liquid,creepy_liquid
$mat_darkness,material_darkness
$mat_diamond,diamond
$mat_endslime_static,endslime_static
$mat_explosion_dirt,explosion_dirt
$mat_fungisoil,fungisoil
$mat_fungisoil,fungus_powder
$mat_glass_broken_molten,glass_broken_molten
$mat_glass_molten,glass_molten
$mat_glass_static,glass_static
$mat_glass,glass_broken
$mat_glue,glue
$mat_gold_molten,gold_molten
$mat_gold,gold
$mat_gunpowder_explosive,gunpowder_explosive
$mat_gunpowder_tnt,gunpowder_tnt
$mat_gunpowder_unstable_boss_limbs,gunpowder_unstable_boss_limbs
$mat_gunpowder_unstable,gunpowder_unstable
$mat_gunpowder_unstable,gunpowder_unstable_big
$mat_gunpowder,gunpowder
$mat_honey,honey
$mat_ice_acid_static,ice_acid_static
$mat_ice_cold_static,ice_cold_static
$mat_ice_meteor_static,ice_meteor_static
$mat_ice_poison_static,ice_poison_static
